# gate	bias	idc	gx	gy	gr
-1.235	5e-05	1.432531503e-10	1.124090909e-06	-1.657663636e-08	1.124213128e-06
-1.234	5e-05	1.329578615e-10	1.129290909e-06	-6.242263636e-09	1.129308161e-06
-1.233	5e-05	1.457921492e-10	1.126309091e-06	-8.114936364e-09	1.126338324e-06
-1.232	5e-05	1.386789848e-10	1.119445455e-06	-1.262327273e-08	1.119516625e-06
-1.231	5e-05	1.316591988e-10	1.117845455e-06	-1.026509091e-08	1.117892585e-06
-1.23	5e-05	1.287212065e-10	1.119163636e-06	-5.063181818e-09	1.119175089e-06
-1.229	5e-05	1.405977566e-10	1.111536364e-06	-5.895472727e-09	1.111551998e-06
-1.228	5e-05	1.344579125e-10	1.101554545e-06	-1.442654545e-08	1.10164901e-06
-1.227	5e-05	1.334476523e-10	1.094818182e-06	-2.420609091e-08	1.095085744e-06
-1.226	5e-05	1.307072061e-10	1.090381818e-06	-2.261090909e-08	1.090616231e-06
-1.225	5e-05	1.260816315e-10	1.0899e-06	-1.491209091e-08	1.090002009e-06
-1.224	5e-05	1.260312401e-10	1.090036364e-06	-7.768145455e-09	1.090064043e-06
-1.223	5e-05	1.300461305e-10	1.096e-06	-5.895472727e-09	1.096015856e-06
-1.222	5e-05	1.426035793e-10	1.099954545e-06	-1.054254545e-08	1.100005067e-06
-1.221	5e-05	1.317949744e-10	1.103836364e-06	-1.491209091e-08	1.103937085e-06
-1.22	5e-05	1.403470389e-10	1.114172727e-06	-1.969781818e-08	1.114346836e-06
-1.219	5e-05	1.302890237e-10	1.1225e-06	-2.025272727e-08	1.12268269e-06
-1.218	5e-05	1.359530962e-10	1.120481818e-06	-1.6646e-08	1.120605459e-06
-1.217	5e-05	1.430365849e-10	1.112090909e-06	-1.109736364e-08	1.112146277e-06
-1.216	5e-05	1.328832148e-10	1.106681818e-06	-6.103545455e-09	1.106698649e-06
-1.215	5e-05	1.418086824e-10	1.1037e-06	-6.242272727e-10	1.103700177e-06
-1.214	5e-05	1.357650266e-10	1.102863636e-06	5.409963636e-09	1.102876905e-06
-1.213	5e-05	1.382493126e-10	1.107172727e-06	1.123609091e-08	1.10722974e-06
-1.212	5e-05	1.334138245e-10	1.113272727e-06	1.851872727e-08	1.113426741e-06
-1.211	5e-05	1.362421698e-10	1.113963636e-06	2.157054545e-08	1.11417246e-06
-1.21	5e-05	1.468286118e-10	1.1114e-06	1.844936364e-08	1.11155312e-06
-1.209	5e-05	1.374873143e-10	1.108136364e-06	1.3733e-08	1.108221456e-06
-1.208	5e-05	1.352098591e-10	1.1053e-06	4.577672727e-09	1.105309479e-06
-1.207	5e-05	1.375969834e-10	1.105709091e-06	-5.271254545e-09	1.105721656e-06
-1.206	5e-05	1.496941329e-10	1.107581818e-06	-1.387172727e-08	1.107668682e-06
-1.205	5e-05	1.455062542e-10	1.102727273e-06	-1.893490909e-08	1.102889826e-06
-1.204	5e-05	1.423661287e-10	1.093572727e-06	-2.212536364e-08	1.093796527e-06
-1.203	5e-05	1.513756311e-10	1.091218182e-06	-2.399809091e-08	1.091482033e-06
-1.202	5e-05	1.513241557e-10	1.098427273e-06	-2.600945455e-08	1.098735166e-06
-1.201	5e-05	1.490664574e-10	1.107445455e-06	-2.836763636e-08	1.107808719e-06
-1.2	5e-05	1.525641231e-10	1.111263636e-06	-3.058709091e-08	1.111684505e-06
-1.199	5e-05	1.436664064e-10	1.115354545e-06	-3.114190909e-08	1.115789219e-06
-1.198	5e-05	1.382693054e-10	1.12e-06	-2.996281818e-08	1.120400719e-06
-1.197	5e-05	1.499098208e-10	1.124509091e-06	-2.496909091e-08	1.124786269e-06
-1.196	5e-05	1.404216635e-10	1.132618182e-06	-1.928172727e-08	1.132782296e-06
-1.195	5e-05	1.47524636e-10	1.136581818e-06	-1.810263636e-08	1.136725972e-06
-1.194	5e-05	1.489253056e-10	1.137272727e-06	-1.747827273e-08	1.137407028e-06
-1.193	5e-05	1.419401365e-10	1.137618182e-06	-1.491209091e-08	1.137715913e-06
-1.192	5e-05	1.393828484e-10	1.1397e-06	-1.574436364e-08	1.139808745e-06
-1.191	5e-05	1.489739196e-10	1.141018182e-06	-2.170927273e-08	1.141224686e-06
-1.19	5e-05	1.429114657e-10	1.142545455e-06	-2.462227273e-08	1.142810733e-06
-1.189	5e-05	1.486362247e-10	1.149963636e-06	-2.101563636e-08	1.150155651e-06
-1.188	5e-05	1.420740979e-10	1.158081818e-06	-1.935109091e-08	1.158243481e-06
-1.187	5e-05	1.543529453e-10	1.158009091e-06	-2.004463636e-08	1.15818256e-06
-1.186	5e-05	1.458133588e-10	1.150863636e-06	-1.782518182e-08	1.151001671e-06
-1.185	5e-05	1.479340499e-10	1.143027273e-06	-1.442654545e-08	1.14311831e-06
-1.184	5e-05	1.406452865e-10	1.134636364e-06	-1.248454545e-08	1.134705046e-06
-1.183	5e-05	1.482737729e-10	1.127418182e-06	-1.421845455e-08	1.127507836e-06
-1.182	5e-05	1.476673144e-10	1.124645455e-06	-1.948972727e-08	1.124814317e-06
-1.181	5e-05	1.460104625e-10	1.121390909e-06	-2.365127273e-08	1.121640296e-06
-1.18	5e-05	1.430547414e-10	1.118545455e-06	-2.365127273e-08	1.118795476e-06
-1.179	5e-05	1.507694528e-10	1.119309091e-06	-1.935109091e-08	1.119476353e-06
-1.178	5e-05	1.402756813e-10	1.118127273e-06	-1.484272727e-08	1.118225784e-06
-1.177	5e-05	1.405024164e-10	1.117090909e-06	-1.435718182e-08	1.117183167e-06
-1.176	5e-05	1.485164669e-10	1.121872727e-06	-1.713154545e-08	1.122003523e-06
-1.175	5e-05	1.441931297e-10	1.127281818e-06	-1.955909091e-08	1.127451487e-06
-1.174	5e-05	1.545859268e-10	1.134218182e-06	-2.469163636e-08	1.134486915e-06
-1.173	5e-05	1.515750725e-10	1.144e-06	-2.926927273e-08	1.144374366e-06
-1.172	5e-05	1.537760372e-10	1.150454545e-06	-3.128063636e-08	1.150879724e-06
-1.171	5e-05	1.459912588e-10	1.156418182e-06	-3.204363636e-08	1.156862051e-06
-1.17	5e-05	1.469245788e-10	1.165018182e-06	-3.169681818e-08	1.165449292e-06
-1.169	5e-05	1.439379724e-10	1.170845455e-06	-3.239036364e-08	1.171293394e-06
-1.168	5e-05	1.572464534e-10	1.168272727e-06	-3.239036364e-08	1.168721652e-06
